Id;Descripcion;Nombre;Longitud
1;0;Torretas - On/Off;
2;0/0;Zona A;
3;0/0/1;Zona A - Torreta A1 - Plaza A01 - On/Off;1 bit
4;0/0/2;Zona A - Torreta A1 - Plaza A02 - On/Off;1 bit
5;0/0/3;Zona A - Torreta A1 - Plaza A03 - On/Off;1 bit
6;0/0/4;Zona A - Torreta A2 - Plaza A04 - On/Off;1 bit
7;0/0/5;Zona A - Torreta A2 - Plaza A05 - On/Off;1 bit
8;0/0/6;Zona A - Torreta A3 - Plaza A06 - On/Off;1 bit
9;0/0/7;Zona A - Torreta A3 - Plaza A07 - On/Off;1 bit
10;0/0/8;Zona A - Torreta A4 - Plaza A08 - On/Off;1 bit
11;0/0/9;Zona A - Torreta A4 - Plaza A09 - On/Off;1 bit
12;0/0/10;Zona A - Torreta A5 - Plaza A10 - On/Off;1 bit
13;0/0/11;Zona A - Torreta A5 - Plaza A11 - On/Off;1 bit
14;0/0/12;Zona A - Torreta A6 - Plaza A12 - On/Off;1 bit
15;0/0/13;Zona A - Torreta A6 - Plaza A13 - On/Off;1 bit
16;0/0/14;Zona A - Torreta A7 - Plaza A14 - On/Off;1 bit
17;0/0/15;Zona A - Torreta A7 - Plaza A15 - On/Off;1 bit
18;0/0/16;Zona A - Torreta A8 - Plaza A16 - On/Off;1 bit
19;0/0/17;Zona A - Torreta A8 - Plaza A17 - On/Off;1 bit
20;0/0/18;Zona A - Torreta A8 - Plaza A18 - On/Off;1 bit
21;0/1;Zona B;
22;0/1/1;Zona B - Torreta B1 - Plaza A19 - On/Off;1 bit
23;0/1/2;Zona B - Torreta B1 - Plaza A20 - On/Off;1 bit
24;0/1/3;Zona B - Torreta B2 - Plaza A21 - On/Off;1 bit
25;0/1/4;Zona B - Torreta B2 - Plaza A22 - On/Off;1 bit
26;0/1/5;Zona B - Torreta B3 - Plaza A23 - On/Off;1 bit
27;0/1/6;Zona B - Torreta B3 - Plaza A24 - On/Off;1 bit
28;0/1/7;Zona B - Torreta B4 - Plaza A25 - On/Off;1 bit
29;0/1/8;Zona B - Torreta B4 - Plaza A26 - On/Off;1 bit
30;0/1/9;Zona B - Torreta B5 - Plaza A27 - On/Off;1 bit
31;0/1/10;Zona B - Torreta B5 - Plaza A28 - On/Off;1 bit
32;0/1/11;Zona B - Torreta B6 - Plaza A29/30 - On/Off;1 bit
33;0/2;Zona X;
34;0/2/1;Zona X - Torreta X1 - Plaza X01 - On/Off;1 bit
35;0/2/2;Zona X - Torreta X1 - Plaza X02 - On/Off;1 bit
36;0/2/3;Zona X - Torreta X1 - Plaza X03 - On/Off;1 bit
37;0/2/4;Zona X - Torreta X2 - Plaza X04 - On/Off;1 bit
38;0/2/5;Zona X - Torreta X2 - Plaza X05 - On/Off;1 bit
39;0/2/6;Zona X - Torreta X2 - Plaza X06 - On/Off;1 bit
40;0/3;Zona C-D-E;
41;0/3/1;Zona C-D-E - Torreta C1 - Plaza C01 - On/Off;1 bit
42;0/3;Zona C-D-E;
43;0/3/2;Zona C-D-E - Torreta C1 - Plaza C02 - On/Off;1 bit
44;0/3/3;Zona C-D-E - Torreta C2 - Plaza C03 - On/Off;1 bit
45;0/3/4;Zona C-D-E - Torreta C2 - Plaza C04 - On/Off;1 bit
46;0/3/5;Zona C-D-E - Torreta C3 - Plaza C05 - On/Off;1 bit
47;0/3/6;Zona C-D-E - Torreta C3 - Plaza C06 - On/Off;1 bit
48;0/3/7;Zona C-D-E - Torreta C4 - Plaza C07 - On/Off;1 bit
49;0/3/8;Zona C-D-E - Torreta C4 - Plaza C08 - On/Off;1 bit
50;0/3/9;Zona C-D-E - Torreta C5 - Plaza C09 - On/Off;1 bit
51;0/3/10;Zona C-D-E - Torreta C5 - Plaza C10 - On/Off;1 bit
52;0/3/11;Zona C-D-E - Torreta C6 - Plaza C11 - On/Off;1 bit
53;0/3/12;Zona C-D-E - Torreta C6 - Plaza C12 - On/Off;1 bit
54;0/3/13;Zona C-D-E - Torreta D1 - Plaza C13 - On/Off;1 bit
55;0/3/14;Zona C-D-E - Torreta D1 - Plaza C14 - On/Off;1 bit
56;0/3/15;Zona C-D-E - Torreta D2 - Plaza C15 - On/Off;1 bit
57;0/3/16;Zona C-D-E - Torreta D2 - Plaza C16 - On/Off;1 bit
58;0/3/17;Zona C-D-E - Torreta D3 - Plaza C17 - On/Off;1 bit
59;0/3/18;Zona C-D-E - Torreta D3 - Plaza C18 - On/Off;1 bit
60;0/3/19;Zona C-D-E - Torreta D4 - Plaza C19 - On/Off;1 bit
61;0/3/20;Zona C-D-E - Torreta D4- Plaza C20 - On/Off;1 bit
62;0/4;Zona F-G;
63;0/4/1;Zona F-G - Bungalow 1 - Plaza B01 - On/Off;1 bit
64;0/4/2;Zona F-G - Bungalow 2 - Plaza B02 - On/Off;1 bit
65;0/4/3;Zona F-G - Bungalow 3 - Plaza B03 - On/Off;1 bit
66;0/4/4;Zona F-G - Bungalow 4 - Plaza B04 - On/Off;1 bit
67;0/4/5;Zona F-G - Bungalow 5 - Plaza B05 - On/Off;1 bit
68;0/4/6;Zona F-G - Bungalow 6 - Plaza B06 - On/Off;1 bit
69;0/4/7;Zona F-G - Bungalow 7 - Plaza B07 - On/Off;1 bit
70;0/4/8;Zona F-G - Bungalow 8 - Plaza B08 - On/Off;1 bit
71;0/4/9;Zona F-G - Bungalow 9 - Plaza B09 - On/Off;1 bit
72;0/5;Zona H;
73;0/5/1;Zona H - Torreta H1 - Plaza D01 - On/Off;1 bit
74;0/5/2;Zona H - Torreta H1 - Plaza D02 - On/Off;1 bit
75;0/5/3;Zona H - Torreta H2 - Plaza D03 - On/Off;1 bit
76;0/5/4;Zona H - Torreta H2 - Plaza D04 - On/Off;1 bit
77;0/5/5;Zona H - Torreta H3 - Plaza D05 - On/Off;1 bit
78;0/5/6;Zona H - Torreta H3 - Plaza D06 - On/Off;1 bit
79;0/5/7;Zona H - Torreta H4 - Plaza D07 - On/Off;1 bit
80;0/5/8;Zona H - Torreta H4 - Plaza D08 - On/Off;1 bit
81;0/5/9;Zona H - Torreta H5 - Plaza D09 - On/Off;1 bit
82;0/5/10;Zona H - Torreta H5 - Plaza D10 - On/Off;1 bit
83;0/5;Zona H;
84;0/5/11;Zona H - Torreta H5 - Plaza D11 - On/Off;1 bit
85;0/6;Zona I;
86;0/6/1;Zona I - Torreta I1 - Plaza D12 - On/Off;1 bit
87;0/6/2;Zona I - Torreta I1 - Plaza D13 - On/Off;1 bit
88;0/6/3;Zona I - Torreta I2 - Plaza D14 - On/Off;1 bit
